t,x,y
1.34934E+01,7.37506E-03,-5.836765E-01
1.352688E+01,7.387958E-03,-5.884769E-01
1.356036E+01,7.280109E-03,-5.931724E-01
1.359384E+01,7.405994E-03,-5.978073E-01
1.362732E+01,7.590355E-03,-6.026089E-01
1.366081E+01,7.508411E-03,-6.072069E-01
1.369429E+01,7.788213E-03,-6.120592E-01
1.372777E+01,8.136E-03,-6.167698E-01
1.376126E+01,8.075734E-03,-6.21393E-01
1.379473E+01,8.737424E-03,-6.262614E-01
1.382821E+01,9.202626E-03,-6.313147E-01
1.38617E+01,9.264369E-03,-6.361568E-01
1.389518E+01,9.658713E-03,-6.410046E-01
1.392867E+01,9.987267E-03,-6.459642E-01
1.396214E+01,1.020352E-02,-6.508285E-01
1.399562E+01,1.06987E-02,-6.556002E-01
1.402911E+01,1.090048E-02,-6.606657E-01
1.406259E+01,1.116853E-02,-6.655735E-01
1.409607E+01,1.171415E-02,-6.705367E-01
1.412956E+01,1.195738E-02,-6.757527E-01
1.416303E+01,1.212659E-02,-6.80712E-01
1.419652E+01,1.265305E-02,-6.857006E-01
1.423E+01,1.300692E-02,-6.90817E-01
1.426348E+01,1.298505E-02,-6.958125E-01
1.429697E+01,1.337091E-02,-7.010298E-01
1.433044E+01,1.367812E-02,-7.063012E-01
1.436393E+01,1.374836E-02,-7.113875E-01
1.439741E+01,1.366172E-02,-7.167365E-01
1.443089E+01,1.384983E-02,-7.220424E-01
1.446438E+01,1.344526E-02,-7.270797E-01
1.449786E+01,1.371724E-02,-7.323733E-01
1.453133E+01,1.377692E-02,-7.376362E-01
1.456482E+01,1.377247E-02,-7.427249E-01
1.45983E+01,1.378831E-02,-7.484057E-01
1.463179E+01,1.348304E-02,-7.535814E-01
1.466527E+01,1.347725E-02,-7.59103E-01
1.469874E+01,1.35929E-02,-7.647288E-01
1.473223E+01,1.295747E-02,-7.700409E-01
1.476571E+01,1.305888E-02,-7.754688E-01
1.47992E+01,1.318678E-02,-7.811278E-01
1.483268E+01,1.274439E-02,-7.866527E-01
1.486616E+01,1.259772E-02,-7.921218E-01
1.489964E+01,1.215026E-02,-7.97655E-01
1.493312E+01,1.195146E-02,-8.034219E-01
1.49666E+01,1.155183E-02,-8.089562E-01
1.500009E+01,1.186023E-02,-8.149169E-01
1.503357E+01,1.126206E-02,-8.203784E-01
1.506706E+01,1.112971E-02,-8.261497E-01
1.510053E+01,1.090106E-02,-8.319094E-01
1.513401E+01,1.099915E-02,-8.374565E-01
1.51675E+01,1.138679E-02,-8.433673E-01
1.520098E+01,1.162114E-02,-8.488959E-01
1.523446E+01,1.157174E-02,-8.545809E-01
1.526794E+01,1.166052E-02,-8.604246E-01
1.530142E+01,1.160524E-02,-8.661849E-01
1.533491E+01,1.157978E-02,-8.7181E-01
1.536839E+01,1.158631E-02,-8.777043E-01
1.540187E+01,1.139345E-02,-8.835307E-01
1.543536E+01,1.147979E-02,-8.891836E-01
1.546883E+01,1.204023E-02,-8.952723E-01
1.550232E+01,1.18661E-02,-9.010933E-01
1.55358E+01,1.164451E-02,-9.070156E-01
1.556928E+01,1.249645E-02,-9.128527E-01
1.560277E+01,1.249832E-02,-9.18708E-01
1.563624E+01,1.262838E-02,-9.245822E-01
1.566972E+01,1.290722E-02,-9.304822E-01
1.570321E+01,1.318555E-02,-9.36556E-01
1.573669E+01,1.290951E-02,-9.423008E-01
1.577018E+01,1.31244E-02,-9.483103E-01
1.580366E+01,1.318898E-02,-9.542695E-01
1.583713E+01,1.382244E-02,-9.603746E-01
1.587062E+01,1.370037E-02,-9.664385E-01
1.59041E+01,1.350548E-02,-9.720804E-01
1.593758E+01,1.405311E-02,-9.781825E-01
1.597107E+01,1.444841E-02,-9.841997E-01
1.600454E+01,1.470427E-02,-9.900047E-01
1.603803E+01,1.47925E-02,-9.962526E-01
1.607151E+01,1.483486E-02,-1.002466E+00
1.610499E+01,1.549234E-02,-1.008409E+00
1.613848E+01,1.556344E-02,-1.014591E+00
1.617196E+01,1.628678E-02,-1.020787E+00
1.620544E+01,1.576411E-02,-1.026842E+00
1.623892E+01,1.627395E-02,-1.032949E+00
1.62724E+01,1.642818E-02,-1.039137E+00
1.630589E+01,1.633915E-02,-1.045133E+00
1.633937E+01,1.695884E-02,-1.05188E+00
1.637284E+01,1.687783E-02,-1.057955E+00
1.640633E+01,1.677252E-02,-1.064433E+00
1.643981E+01,1.693788E-02,-1.070926E+00
1.64733E+01,1.721376E-02,-1.077227E+00
1.650678E+01,1.71768E-02,-1.083595E+00
1.654026E+01,1.737179E-02,-1.090135E+00
