t,y,vy,ay
7.125822E0,-2.114366E-1,-3.944818E-2,-4.719962E-1
7.142511E0,-2.121677E-1,-5.745204E-2,-3.559555E-1
7.159200E0,-2.133543E-1,-5.666672E-2,-1.943839E-1
7.175889E0,-2.140591E-1,-5.591380E-2,3.176626E-1
7.192578E0,-2.152205E-1,-5.422807E-2,2.185590E-1
7.209267E0,-2.158692E-1,-4.184893E-2,1.094169E-1
7.225956E0,-2.166174E-1,-5.254321E-2,-5.311023E-1
7.242633E0,-2.176223E-1,-6.122152E-2,1.752989E-1
7.259322E0,-2.186601E-1,-4.789920E-2,2.308385E-1
7.276011E0,-2.192211E-1,-4.731916E-2,-8.285733E-4
7.292700E0,-2.202395E-1,-5.477583E-2,1.856833E-1
7.309389E0,-2.210494E-1,-3.877208E-2,-3.142225E-1
7.326078E0,-2.215337E-1,-5.907510E-2,-6.335758E-1
7.342767E0,-2.230212E-1,-7.230530E-2,-3.260419E-1
7.359456E0,-2.239471E-1,-6.018315E-2,9.148004E-1
7.376144E0,-2.250300E-1,-4.794115E-2,3.567638E-1
7.392833E0,-2.255472E-1,-4.128956E-2,-2.264016E-1
7.409522E0,-2.264081E-1,-5.970165E-2,-3.762163E-1
7.426211E0,-2.275399E-1,-5.633490E-2,9.517575E-2
7.442900E0,-2.282885E-1,-5.118088E-2,-2.056649E-1
7.459589E0,-2.292482E-1,-6.550556E-2,7.280478E-2
7.476278E0,-2.304749E-1,-5.307119E-2,4.356259E-2
7.492956E0,-2.310190E-1,-5.402744E-2,-5.913271E-2
7.509644E0,-2.322776E-1,-6.548217E-2,1.544985E-1
7.526333E0,-2.332047E-1,-4.453288E-2,-7.960223E-2
7.543022E0,-2.337640E-1,-6.229821E-2,-3.242466E-1
7.559711E0,-2.352841E-1,-6.839413E-2,-6.894892E-2
7.576400E0,-2.360469E-1,-5.296841E-2,6.945468E-1
7.593089E0,-2.370520E-1,-5.174014E-2,2.279846E-1
7.609778E0,-2.377738E-1,-4.206522E-2,-8.661644E-2
7.626467E0,-2.384561E-1,-5.367713E-2,-5.205164E-1
7.643156E0,-2.395655E-1,-6.366584E-2,-1.818993E-1
7.659844E0,-2.405811E-1,-5.758531E-2,5.782650E-2
7.676533E0,-2.414875E-1,-6.034101E-2,5.321664E-1
7.693222E0,-2.425952E-1,-4.507710E-2,2.361346E-1
7.709900E0,-2.429916E-1,-4.280783E-2,-4.092205E-1
7.726589E0,-2.440235E-1,-6.652865E-2,-2.517732E-1
7.743278E0,-2.452122E-1,-5.249282E-2,-4.310562E-2
7.759967E0,-2.457756E-1,-5.842115E-2,1.579530E-1
7.776656E0,-2.471622E-1,-6.021031E-2,4.233332E-1
7.793344E0,-2.477853E-1,-3.462146E-2,-7.671333E-2
7.810033E0,-2.483177E-1,-6.109235E-2,-8.238147E-1
7.826722E0,-2.498244E-1,-7.327528E-2,-3.008562E-1
7.843411E0,-2.507635E-1,-6.137663E-2,8.548926E-1
7.860100E0,-2.518730E-1,-5.086073E-2,6.040690E-1
7.876789E0,-2.524611E-1,-3.592344E-2,-1.452645E-1
7.893478E0,-2.530721E-1,-5.544564E-2,-4.901023E-1
7.910167E0,-2.543118E-1,-5.965588E-2,-2.962418E-1
7.926856E0,-2.550633E-1,-5.678394E-2,4.206401E-1
7.943544E0,-2.562071E-1,-5.327031E-2,6.559089E-2
7.960222E0,-2.568407E-1,-4.724137E-2,-4.197759E-1
7.976911E0,-2.577834E-1,-7.013813E-2,-4.521147E-1
7.993600E0,-2.591818E-1,-6.725190E-2,2.162938E-1
8.010289E0,-2.600281E-1,-5.555164E-2,3.725267E-1
8.026978E0,-2.610360E-1,-5.879143E-2,2.908031E-1
8.043667E0,-2.619904E-1,-4.625909E-2,4.473674E-1
8.060356E0,-2.625800E-1,-4.025913E-2,-3.330764E-1
8.077044E0,-2.633342E-1,-5.845348E-2,-3.584247E-1
8.093733E0,-2.645310E-1,-5.735759E-2,1.124923E-1
8.110422E0,-2.652487E-1,-4.798966E-2,8.616595E-2
8.127111E0,-2.661328E-1,-5.733552E-2,2.047974E-1
8.143800E0,-2.671624E-1,-4.418692E-2,-3.932036E-1
8.160489E0,-2.676077E-1,-6.006647E-2,-4.356383E-1
8.177178E0,-2.691673E-1,-7.360253E-2,2.634579E-2
8.193867E0,-2.700644E-1,-4.938920E-2,7.089915E-1
8.210544E0,-2.708152E-1,-5.072946E-2,2.036387E-1
8.227233E0,-2.717570E-1,-4.628763E-2,-2.776000E-1
8.243922E0,-2.723602E-1,-5.374460E-2,-1.553830E-1
8.260611E0,-2.735509E-1,-5.962690E-2,7.297882E-2
8.277300E0,-2.743504E-1,-4.575314E-2,-4.377582E-2
8.293989E0,-2.750780E-1,-5.982859E-2,-5.039048E-2
8.310678E0,-2.763474E-1,-5.533935E-2,4.877389E-2
8.327367E0,-2.769252E-1,-4.804497E-2,2.191038E-1
8.344056E0,-2.779510E-1,-5.565226E-2,5.296127E-2
8.360744E0,-2.787827E-1,-4.358989E-2,-1.459577E-2
8.377433E0,-2.794059E-1,-5.295567E-2,-2.620306E-1
8.394122E0,-2.805502E-1,-5.904840E-2,-2.999855E-1
8.410811E0,-2.813768E-1,-5.697357E-2,3.867429E-3
8.427489E0,-2.824513E-1,-6.266884E-2,4.553879E-1
8.444178E0,-2.834679E-1,-4.279337E-2,-2.114361E-1
8.460867E0,-2.838796E-1,-5.975953E-2,-2.344574E-1
8.477556E0,-2.854625E-1,-6.718541E-2,6.772348E-2
8.494244E0,-2.861221E-1,-4.394999E-2,5.264961E-1
8.510933E0,-2.869295E-1,-5.402273E-2,-6.301719E-2
8.527622E0,-2.879253E-1,-4.861288E-2,-1.654432E-2
8.544311E0,-2.885521E-1,-4.897855E-2,-3.551552E-1
8.561000E0,-2.895601E-1,-6.469559E-2,-4.953466E-2
8.577689E0,-2.907115E-1,-5.257355E-2,3.635131E-2
8.594378E0,-2.913149E-1,-5.542459E-2,1.611240E-1
8.611067E0,-2.925614E-1,-5.750269E-2,2.904108E-1
8.627756E0,-2.932342E-1,-3.834718E-2,-1.415333E-2
8.644444E0,-2.938414E-1,-5.693410E-2,-2.556670E-1
8.661133E0,-2.951345E-1,-5.610568E-2,-3.007672E-1
8.677811E0,-2.957134E-1,-5.503461E-2,7.296117E-2
8.694500E0,-2.969708E-1,-6.412044E-2,1.243525E-1
8.711189E0,-2.978536E-1,-4.577419E-2,1.594348E-1
8.727878E0,-2.984987E-1,-5.590246E-2,-7.467293E-2
8.744567E0,-2.997195E-1,-5.658079E-2,-6.481254E-2
8.761256E0,-3.003872E-1,-4.950877E-2,1.949834E-1
8.777944E0,-3.013720E-1,-5.563676E-2,9.572312E-2
8.794633E0,-3.022442E-1,-4.502655E-2,-2.538545E-1
8.811322E0,-3.028749E-1,-5.943219E-2,-1.534835E-1
8.828011E0,-3.042279E-1,-6.033047E-2,4.127473E-2
8.844700E0,-3.048886E-1,-4.785453E-2,9.020130E-2
8.861389E0,-3.058252E-1,-6.183033E-2,-1.324558E-1
8.878078E0,-3.069524E-1,-5.457664E-2,-6.260735E-2
8.894767E0,-3.076469E-1,-5.717831E-2,-1.270838E-1
8.911456E0,-3.088608E-1,-6.609030E-2,1.671431E-1
8.928133E0,-3.098521E-1,-4.897838E-2,2.296299E-1
8.944822E0,-3.104951E-1,-5.414730E-2,-3.777781E-2
8.961511E0,-3.116594E-1,-5.787440E-2,-3.642426E-1
8.978200E0,-3.124268E-1,-5.883939E-2,3.383785E-1
8.994889E0,-3.136233E-1,-5.442018E-2,3.216424E-1
9.011578E0,-3.142432E-1,-4.080773E-2,-1.769489E-1
9.028267E0,-3.149854E-1,-6.141976E-2,-5.059485E-1
9.044956E0,-3.162933E-1,-6.405856E-2,-1.182580E-2
9.061644E0,-3.171235E-1,-5.461021E-2,1.535358E-1
9.078333E0,-3.181161E-1,-6.200521E-2,1.096691E-1
9.095022E0,-3.191931E-1,-5.267402E-2,-8.341372E-2
9.111711E0,-3.198742E-1,-5.850901E-2,2.084434E-1
9.128400E0,-3.211460E-1,-5.543615E-2,1.013792E-1
9.145089E0,-3.217245E-1,-4.516190E-2,9.241104E-2
9.161778E0,-3.226534E-1,-5.800659E-2,-3.055757E-1
9.178456E0,-3.236600E-1,-5.526538E-2,1.902215E-2
9.195144E0,-3.244975E-1,-5.489822E-2,-3.428155E-2
9.211833E0,-3.254924E-1,-5.860717E-2,-1.630926E-2
9.228522E0,-3.264536E-1,-5.486971E-2,-7.069046E-2
9.245211E0,-3.273238E-1,-5.930783E-2,7.972544E-2
9.261900E0,-3.284332E-1,-5.612424E-2,-2.775780E-2
9.278589E0,-3.291971E-1,-5.494376E-2,3.309480E-1
9.295278E0,-3.302671E-1,-5.104323E-2,1.677430E-1
9.311967E0,-3.309008E-1,-4.350996E-2,-2.039853E-1
9.328656E0,-3.317194E-1,-5.976887E-2,-2.649926E-1
9.345344E0,-3.328958E-1,-5.661053E-2,-1.399930E-1
9.362033E0,-3.336089E-1,-5.691695E-2,1.996008E-1
9.378722E0,-3.347955E-1,-5.789599E-2,-4.251713E-2
9.395400E0,-3.355407E-1,-5.156163E-2,-1.695864E-1
9.412089E0,-3.365160E-1,-6.627562E-2,-1.183451E-1
9.428778E0,-3.377528E-1,-5.891754E-2,9.800910E-2
9.445467E0,-3.384825E-1,-5.581628E-2,6.050684E-2
